forgetting;lifetimes;snapshot_interval;mu;theta;lambda;units
exponential;120;10;0.3;0.1;0.00915510240556758;60
exponential;120;10;0.3;0.2;0.0033788759009013686;60
exponential;120;10;0.5;0.1;0.013411982603617503;60
exponential;120;10;0.5;0.2;0.007635756098951292;60
exponential;120;10;0.8;0.1;0.01732867951399863;60
exponential;120;10;0.8;0.2;0.011552453009332421;60
exponential;120;30;0.3;0.1;0.00915510240556758;60
exponential;120;30;0.3;0.2;0.0033788759009013686;60
exponential;120;30;0.5;0.1;0.013411982603617503;60
exponential;120;30;0.5;0.2;0.007635756098951292;60
exponential;120;30;0.8;0.1;0.01732867951399863;60
exponential;120;30;0.8;0.2;0.011552453009332421;60
exponential;120;60;0.3;0.1;0.00915510240556758;60
exponential;120;60;0.3;0.2;0.0033788759009013686;60
exponential;120;60;0.5;0.1;0.013411982603617503;60
exponential;120;60;0.5;0.2;0.007635756098951292;60
exponential;120;60;0.8;0.1;0.01732867951399863;60
exponential;120;60;0.8;0.2;0.011552453009332421;60
exponential;120;120;0.3;0.1;0.00915510240556758;60
exponential;120;120;0.3;0.2;0.0033788759009013686;60
exponential;120;120;0.5;0.1;0.013411982603617503;60
exponential;120;120;0.5;0.2;0.007635756098951292;60
exponential;120;120;0.8;0.1;0.01732867951399863;60
exponential;120;120;0.8;0.2;0.011552453009332421;60
exponential;120;180;0.3;0.1;0.00915510240556758;60
exponential;120;180;0.3;0.2;0.0033788759009013686;60
exponential;120;180;0.5;0.1;0.013411982603617503;60
exponential;120;180;0.5;0.2;0.007635756098951292;60
exponential;120;180;0.8;0.1;0.01732867951399863;60
exponential;120;180;0.8;0.2;0.011552453009332421;60
exponential;120;240;0.3;0.1;0.00915510240556758;60
exponential;120;240;0.3;0.2;0.0033788759009013686;60
exponential;120;240;0.5;0.1;0.013411982603617503;60
exponential;120;240;0.5;0.2;0.007635756098951292;60
exponential;120;240;0.8;0.1;0.01732867951399863;60
exponential;120;240;0.8;0.2;0.011552453009332421;60
exponential;120;300;0.3;0.1;0.00915510240556758;60
exponential;120;300;0.3;0.2;0.0033788759009013686;60
exponential;120;300;0.5;0.1;0.013411982603617503;60
exponential;120;300;0.5;0.2;0.007635756098951292;60
exponential;120;300;0.8;0.1;0.01732867951399863;60
exponential;120;300;0.8;0.2;0.011552453009332421;60
exponential;120;360;0.3;0.1;0.00915510240556758;60
exponential;120;360;0.3;0.2;0.0033788759009013686;60
exponential;120;360;0.5;0.1;0.013411982603617503;60
exponential;120;360;0.5;0.2;0.007635756098951292;60
exponential;120;360;0.8;0.1;0.01732867951399863;60
exponential;120;360;0.8;0.2;0.011552453009332421;60
exponential;180;0;0.3;0.1;0.00610340160371172;60
exponential;180;0;0.3;0.2;0.0022525839339342458;60
exponential;180;0;0.5;0.1;0.008941321735745002;60
exponential;180;0;0.5;0.2;0.005090504065967528;60
exponential;180;0;0.8;0.1;0.011552453009332421;60
exponential;180;0;0.8;0.2;0.007701635339554948;60
exponential;180;5;0.3;0.1;0.00610340160371172;60
exponential;180;5;0.3;0.2;0.0022525839339342458;60
exponential;180;5;0.5;0.1;0.008941321735745002;60
exponential;180;5;0.5;0.2;0.005090504065967528;60
exponential;180;5;0.8;0.1;0.011552453009332421;60
exponential;180;5;0.8;0.2;0.007701635339554948;60
exponential;180;10;0.3;0.1;0.00610340160371172;60
exponential;180;10;0.3;0.2;0.0022525839339342458;60
exponential;180;10;0.5;0.1;0.008941321735745002;60
exponential;180;10;0.5;0.2;0.005090504065967528;60
exponential;180;10;0.8;0.1;0.011552453009332421;60
exponential;180;10;0.8;0.2;0.007701635339554948;60
exponential;180;30;0.3;0.1;0.00610340160371172;60
exponential;180;30;0.3;0.2;0.0022525839339342458;60
exponential;180;30;0.5;0.1;0.008941321735745002;60
exponential;180;30;0.5;0.2;0.005090504065967528;60
exponential;180;30;0.8;0.1;0.011552453009332421;60
exponential;180;30;0.8;0.2;0.007701635339554948;60
exponential;180;60;0.3;0.1;0.00610340160371172;60
exponential;180;60;0.3;0.2;0.0022525839339342458;60
exponential;180;60;0.5;0.1;0.008941321735745002;60
exponential;180;60;0.5;0.2;0.005090504065967528;60
exponential;180;60;0.8;0.1;0.011552453009332421;60
exponential;180;60;0.8;0.2;0.007701635339554948;60
exponential;180;120;0.3;0.1;0.00610340160371172;60
exponential;180;120;0.3;0.2;0.0022525839339342458;60
exponential;180;120;0.5;0.1;0.008941321735745002;60
exponential;180;120;0.5;0.2;0.005090504065967528;60
exponential;180;120;0.8;0.1;0.011552453009332421;60
exponential;180;120;0.8;0.2;0.007701635339554948;60
exponential;180;180;0.3;0.1;0.00610340160371172;60
exponential;180;180;0.3;0.2;0.0022525839339342458;60
exponential;180;180;0.5;0.1;0.008941321735745002;60
exponential;180;180;0.5;0.2;0.005090504065967528;60
exponential;180;180;0.8;0.1;0.011552453009332421;60
exponential;180;180;0.8;0.2;0.007701635339554948;60
exponential;180;240;0.3;0.1;0.00610340160371172;60
exponential;180;240;0.3;0.2;0.0022525839339342458;60
exponential;180;240;0.5;0.1;0.008941321735745002;60
exponential;180;240;0.5;0.2;0.005090504065967528;60
exponential;180;240;0.8;0.1;0.011552453009332421;60
exponential;180;240;0.8;0.2;0.007701635339554948;60
exponential;180;300;0.3;0.1;0.00610340160371172;60
exponential;180;300;0.3;0.2;0.0022525839339342458;60
exponential;180;300;0.5;0.1;0.008941321735745002;60
exponential;180;300;0.5;0.2;0.005090504065967528;60
exponential;180;300;0.8;0.1;0.011552453009332421;60
exponential;180;300;0.8;0.2;0.007701635339554948;60
exponential;180;360;0.3;0.1;0.00610340160371172;60
exponential;180;360;0.3;0.2;0.0022525839339342458;60
exponential;180;360;0.5;0.1;0.008941321735745002;60
exponential;180;360;0.5;0.2;0.005090504065967528;60
exponential;180;360;0.8;0.1;0.011552453009332421;60
exponential;180;360;0.8;0.2;0.007701635339554948;60
exponential;360;0;0.3;0.1;0.00305170080185586;60
exponential;360;0;0.3;0.2;0.0011262919669671229;60
exponential;360;0;0.5;0.1;0.004470660867872501;60
exponential;360;0;0.5;0.2;0.002545252032983764;60
exponential;360;0;0.8;0.1;0.0057762265046662105;60
exponential;360;0;0.8;0.2;0.003850817669777474;60
exponential;360;5;0.3;0.1;0.00305170080185586;60
exponential;360;5;0.3;0.2;0.0011262919669671229;60
exponential;360;5;0.5;0.1;0.004470660867872501;60
exponential;360;5;0.5;0.2;0.002545252032983764;60
